-0.106120, -0.231992, -0.108637
-0.106168, -0.249279, -0.111497
-0.106161, -0.249279, -0.114246
-0.106059, -0.259317, -0.117048
-0.105868, -0.152770, -0.117575
-0.105586, -0.129382, -0.117535
-0.105311, 0.057658, -0.113761
-0.105095, 0.072795, -0.109819
-0.104934, -0.047707, -0.108418
-0.104786, -0.071450, -0.107534
-0.104705, -0.271671, -0.110738
-0.104669, -0.283108, -0.114150
-0.104648, -0.323097, -0.118308
-0.104649, -0.311735, -0.122178
-0.104665, -0.218264, -0.124115
-0.104696, -0.209585, -0.125855
-0.104734, -0.209585, -0.127567
-0.104847, -0.209585, -0.129318
-0.104989, -0.283108, -0.132532
-0.105116, -0.283108, -0.135668
-0.105252, -0.237766, -0.137843
-0.105387, -0.237766, -0.139974
-0.105487, -0.097032, -0.139214
-0.105518, -0.097032, -0.138400
-0.105519, -0.134467, -0.138323
-0.105446, -0.134467, -0.138174
-0.105284, -0.313388, -0.141520
-0.105055, -0.313388, -0.144732
-0.104759, -0.184581, -0.145239
-0.104356, -0.184581, -0.145631
-0.103959, -0.185755, -0.146045
-0.103526, -0.185755, -0.146414
-0.103059, -0.215031, -0.147329
-0.102572, -0.215031, -0.148206
-0.102094, -0.078886, -0.146351
-0.101626, -0.078886, -0.144544
-0.101159, 0.043414, -0.140327
-0.100674, 0.043414, -0.136176
-0.100155, 0.201517, -0.128913
-0.099601, 0.201517, -0.121762
-0.099025, 0.164477, -0.115473
-0.098487, 0.164477, -0.109347
-0.098012, 0.054409, -0.105606
-0.097609, 0.054409, -0.102011
-0.097261, 0.032268, -0.098984
-0.096958, 0.032268, -0.096062
-0.096685, -0.132483, -0.096523
-0.096449, -0.132483, -0.097011
-0.096203, -0.255876, -0.099948
-0.095867, -0.255876, -0.102737
-0.095472, -0.141098, -0.103117
-0.094970, -0.141098, -0.103384
-0.094456, -0.065506, -0.102123
-0.093944, -0.065506, -0.100889
-0.093447, -0.009221, -0.098569
-0.092964, -0.009221, -0.096309
-0.092512, -0.092324, -0.095786
-0.092119, -0.092324, -0.095331
-0.091765, 0.013374, -0.092811
-0.091441, 0.013374, -0.090369
-0.091146, 0.029975, -0.087673
-0.090857, 0.003096, -0.085574
-0.090479, 0.009129, -0.083310
-0.090051, -0.138896, -0.084002
-0.089579, -0.147737, -0.084814
-0.089118, 0.013517, -0.082396
-0.088688, -0.012027, -0.080567
-0.088311, -0.012027, -0.078826
-0.087979, -0.028447, -0.077494
-0.087668, -0.188662, -0.079413
-0.087163, -0.178480, -0.080899
-0.086797, -0.111605, -0.081154
-0.086432, -0.031376, -0.079801
-0.086092, -0.031376, -0.078499
-0.085765, -0.041795, -0.077445
